country,country_name,date,variable,value
EU,European Union,2016-10-17,Euro 95,1.31
EU,European Union,2016-10-10,Euro 95,1.3
EU,European Union,2016-10-03,Euro 95,1.3
EU,European Union,2016-09-26,Euro 95,1.29
EU,European Union,2016-09-19,Euro 95,1.3
EU,European Union,2016-09-12,Euro 95,1.3
EU,European Union,2016-09-05,Euro 95,1.29
EU,European Union,2016-08-29,Euro 95,1.29
EU,European Union,2016-08-22,Euro 95,1.28
EU,European Union,2016-08-15,Euro 95,1.27
EU,European Union,2016-08-08,Euro 95,1.27
EU,European Union,2016-08-01,Euro 95,1.28
EU,European Union,2016-07-25,Euro 95,1.29
EU,European Union,2016-07-18,Euro 95,1.3
EU,European Union,2016-07-11,Euro 95,1.3
EU,European Union,2016-07-04,Euro 95,1.32
EU,European Union,2016-06-27,Euro 95,1.32
EU,European Union,2016-06-20,Euro 95,1.34
EU,European Union,2016-06-13,Euro 95,1.34
EU,European Union,2016-06-06,Euro 95,1.34
EU,European Union,2016-05-30,Euro 95,1.35
EU,European Union,2016-05-23,Euro 95,1.33
EU,European Union,2016-05-16,Euro 95,1.31
EU,European Union,2016-05-09,Euro 95,1.31
EU,European Union,2016-05-02,Euro 95,1.31
EU,European Union,2016-04-25,Euro 95,1.3
EU,European Union,2016-04-18,Euro 95,1.29
EU,European Union,2016-04-11,Euro 95,1.27
EU,European Union,2016-04-04,Euro 95,1.27
EU,European Union,2016-03-21,Euro 95,1.25
EU,European Union,2016-03-14,Euro 95,1.24
EU,European Union,2016-03-07,Euro 95,1.22
EU,European Union,2016-02-29,Euro 95,1.21
EU,European Union,2016-02-22,Euro 95,1.22
EU,European Union,2016-02-15,Euro 95,1.21
EU,European Union,2016-02-08,Euro 95,1.24
EU,European Union,2016-02-01,Euro 95,1.25
EU,European Union,2016-01-25,Euro 95,1.25
EU,European Union,2016-01-18,Euro 95,1.25
EU,European Union,2016-01-11,Euro 95,1.27
EU,European Union,2016-01-04,Euro 95,1.28
EU,European Union,2015-12-14,Euro 95,1.3
EU,European Union,2015-12-07,Euro 95,1.33
EU,European Union,2015-11-30,Euro 95,1.34
EU,European Union,2015-11-23,Euro 95,1.34
EU,European Union,2015-11-16,Euro 95,1.34
EU,European Union,2015-11-09,Euro 95,1.34
EU,European Union,2015-11-02,Euro 95,1.33
EU,European Union,2015-10-26,Euro 95,1.32
EU,European Union,2015-10-19,Euro 95,1.33
EU,European Union,2015-10-12,Euro 95,1.34
EU,European Union,2015-10-05,Euro 95,1.33
EU,European Union,2015-09-28,Euro 95,1.34
EU,European Union,2015-09-21,Euro 95,1.36
EU,European Union,2015-09-14,Euro 95,1.37
EU,European Union,2015-09-07,Euro 95,1.37
EU,European Union,2015-08-31,Euro 95,1.37
EU,European Union,2015-08-24,Euro 95,1.4
EU,European Union,2015-08-17,Euro 95,1.44
EU,European Union,2015-08-10,Euro 95,1.46
EU,European Union,2015-08-03,Euro 95,1.47
EU,European Union,2015-07-27,Euro 95,1.48
EU,European Union,2015-07-20,Euro 95,1.5
EU,European Union,2015-07-13,Euro 95,1.5
EU,European Union,2015-07-06,Euro 95,1.49
EU,European Union,2015-06-29,Euro 95,1.49
EU,European Union,2015-06-22,Euro 95,1.49
EU,European Union,2015-06-15,Euro 95,1.49
EU,European Union,2015-06-08,Euro 95,1.47
EU,European Union,2015-06-01,Euro 95,1.48
EU,European Union,2015-05-25,Euro 95,1.48
EU,European Union,2015-05-18,Euro 95,1.47
EU,European Union,2015-05-11,Euro 95,1.48
EU,European Union,2015-05-04,Euro 95,1.47
EU,European Union,2015-04-27,Euro 95,1.47
EU,European Union,2015-04-20,Euro 95,1.45
EU,European Union,2015-04-13,Euro 95,1.43
EU,European Union,2015-03-30,Euro 95,1.42
EU,European Union,2015-03-23,Euro 95,1.42
EU,European Union,2015-03-16,Euro 95,1.42
EU,European Union,2015-03-09,Euro 95,1.41
EU,European Union,2015-03-02,Euro 95,1.38
EU,European Union,2015-02-23,Euro 95,1.37
EU,European Union,2015-02-16,Euro 95,1.35
EU,European Union,2015-02-09,Euro 95,1.33
EU,European Union,2015-02-02,Euro 95,1.3
EU,European Union,2015-01-26,Euro 95,1.29
EU,European Union,2015-01-19,Euro 95,1.29
EU,European Union,2015-01-12,Euro 95,1.3
EU,European Union,2015-01-05,Euro 95,1.33
EU,European Union,2014-12-15,Euro 95,1.38
EU,European Union,2014-12-08,Euro 95,1.42
EU,European Union,2014-12-01,Euro 95,1.45
EU,European Union,2014-11-24,Euro 95,1.46
EU,European Union,2014-11-17,Euro 95,1.47
EU,European Union,2014-11-10,Euro 95,1.48
EU,European Union,2014-11-03,Euro 95,1.49
EU,European Union,2014-10-27,Euro 95,1.49
EU,European Union,2014-10-20,Euro 95,1.5
EU,European Union,2014-10-13,Euro 95,1.54
EU,European Union,2014-10-06,Euro 95,1.55
EU,European Union,2014-09-29,Euro 95,1.55
EU,European Union,2014-09-22,Euro 95,1.56
EU,European Union,2014-09-15,Euro 95,1.56
EU,European Union,2014-09-08,Euro 95,1.56
EU,European Union,2014-09-01,Euro 95,1.56
EU,European Union,2014-08-25,Euro 95,1.55
EU,European Union,2014-08-18,Euro 95,1.56
EU,European Union,2014-08-11,Euro 95,1.56
EU,European Union,2014-08-04,Euro 95,1.57
EU,European Union,2014-07-28,Euro 95,1.58
EU,European Union,2014-07-21,Euro 95,1.58
EU,European Union,2014-07-14,Euro 95,1.59
EU,European Union,2014-07-07,Euro 95,1.59
EU,European Union,2014-06-30,Euro 95,1.59
EU,European Union,2014-06-23,Euro 95,1.59
EU,European Union,2014-06-16,Euro 95,1.58
EU,European Union,2014-06-09,Euro 95,1.56
EU,European Union,2014-06-02,Euro 95,1.56
EU,European Union,2014-05-26,Euro 95,1.56
EU,European Union,2014-05-19,Euro 95,1.55
EU,European Union,2014-05-12,Euro 95,1.55
EU,European Union,2014-05-05,Euro 95,1.55
EU,European Union,2014-04-28,Euro 95,1.56
EU,European Union,2014-04-14,Euro 95,1.54
EU,European Union,2014-04-07,Euro 95,1.54
EU,European Union,2014-03-31,Euro 95,1.53
EU,European Union,2014-03-24,Euro 95,1.52
EU,European Union,2014-03-17,Euro 95,1.52
EU,European Union,2014-03-10,Euro 95,1.53
EU,European Union,2014-03-03,Euro 95,1.53
EU,European Union,2014-02-24,Euro 95,1.53
EU,European Union,2014-02-17,Euro 95,1.53
EU,European Union,2014-02-10,Euro 95,1.52
EU,European Union,2014-02-03,Euro 95,1.52
EU,European Union,2014-01-27,Euro 95,1.52
EU,European Union,2014-01-20,Euro 95,1.52
EU,European Union,2014-01-13,Euro 95,1.53
EU,European Union,2014-01-06,Euro 95,1.53
EU,European Union,2013-12-16,Euro 95,1.53
EU,European Union,2013-12-09,Euro 95,1.54
EU,European Union,2013-12-02,Euro 95,1.54
EU,European Union,2013-11-25,Euro 95,1.54
EU,European Union,2013-11-18,Euro 95,1.53
EU,European Union,2013-11-11,Euro 95,1.52
EU,European Union,2013-11-04,Euro 95,1.52
EU,European Union,2013-10-28,Euro 95,1.53
EU,European Union,2013-10-21,Euro 95,1.54
EU,European Union,2013-10-14,Euro 95,1.54
EU,European Union,2013-10-07,Euro 95,1.55
EU,European Union,2013-09-30,Euro 95,1.56
EU,European Union,2013-09-23,Euro 95,1.58
EU,European Union,2013-09-16,Euro 95,1.6
EU,European Union,2013-09-09,Euro 95,1.61
EU,European Union,2013-09-02,Euro 95,1.61
EU,European Union,2013-08-26,Euro 95,1.59
EU,European Union,2013-08-19,Euro 95,1.59
EU,European Union,2013-08-12,Euro 95,1.59
EU,European Union,2013-08-05,Euro 95,1.59
EU,European Union,2013-07-29,Euro 95,1.59
EU,European Union,2013-07-22,Euro 95,1.6
EU,European Union,2013-07-15,Euro 95,1.58
EU,European Union,2013-07-08,Euro 95,1.56
EU,European Union,2013-07-01,Euro 95,1.56
EU,European Union,2013-06-24,Euro 95,1.55
EU,European Union,2013-06-17,Euro 95,1.55
EU,European Union,2013-06-10,Euro 95,1.55
EU,European Union,2013-06-03,Euro 95,1.56
EU,European Union,2013-05-27,Euro 95,1.56
EU,European Union,2013-05-20,Euro 95,1.55
